
===== block_0 =====
c,freq_fgconv_scalar,freq_fgconv_grad,gate_fgconv,gate_fgconv_grad,z_fgconv_energy,z_fgconv_grad_energy,pure_gated_fgconv_energy,pure_gated_fgconv_grad_energy,y_fgconv_energy,y_fgconv_grad_energy
38,0.831145,-0.002307,0.692419,0.001821,3.687233,0.000005,2.553111,0.000006,3.263156,0.000006
39,0.551374,0.001201,0.516369,-0.000129,2.939241,0.000007,1.517733,0.000010,2.083738,0.000010
40,0.612900,0.002519,0.705892,0.001212,2.747952,0.000006,1.939757,0.000007,2.468926,0.000007
41,0.706707,-0.000001,0.441925,-0.000919,3.707714,0.000005,1.638531,0.000008,2.352520,0.000008
42,0.810309,-0.000774,0.243142,0.018672,3.343782,0.000005,0.813013,0.000011,1.456920,0.000011
43,0.527575,-0.000763,0.788973,0.004666,1.961264,0.000008,1.547385,0.000008,1.925062,0.000008
44,0.632253,-0.000283,0.524973,0.000232,1.875128,0.000010,0.984392,0.000014,1.345483,0.000014
45,0.604947,0.000055,0.999868,0.001432,2.406381,0.000005,2.406063,0.000004,2.869457,0.000004
46,0.643077,0.000310,0.637994,-0.003684,1.910643,0.000006,1.218979,0.000008,1.586909,0.000008
47,0.651270,0.000885,0.619014,0.011064,1.657876,0.000010,1.026248,0.000013,1.345503,0.000013
48,0.555504,-0.000706,0.998654,0.004578,1.885032,0.000007,1.882495,0.000005,2.245493,0.000005
49,0.624543,-0.002577,0.648609,-0.003335,2.702958,0.000007,1.753164,0.000009,2.273668,0.000009
50,0.411361,0.003817,0.661282,-0.002733,1.977852,0.000011,1.307919,0.000013,1.688791,0.000013
51,0.571464,0.000630,0.951360,-0.007789,2.274486,0.000009,2.163856,0.000008,2.601850,0.000008
52,0.803404,-0.002048,0.698630,-0.000509,1.712575,0.000008,1.196456,0.000009,1.526245,0.000009
53,0.694597,-0.002137,0.762634,-0.002140,2.773391,0.000007,2.115083,0.000007,2.649152,0.000007
54,0.575480,-0.002151,0.682043,-0.004884,2.134939,0.000008,1.456120,0.000009,1.867242,0.000009
55,0.558207,-0.003099,0.798674,0.003625,1.618811,0.000008,1.292903,0.000008,1.604635,0.000008
56,0.621213,0.001476,0.948249,-0.002384,2.144738,0.000009,2.033745,0.000008,2.446754,0.000008
57,0.508129,-0.000439,0.993154,0.000556,2.613209,0.000003,2.595320,0.000003,3.098541,0.000003
58,0.901775,0.000793,0.715439,0.001729,1.794455,0.000007,1.283822,0.000007,1.629378,0.000007
59,0.450534,0.001005,0.927828,0.001781,4.848536,0.000003,4.498605,0.000003,5.432281,0.000003
60,0.532113,-0.001359,0.998471,0.000079,3.359175,0.000002,3.354039,0.000002,4.000911,0.000002
61,0.574615,-0.001303,0.981336,0.002491,1.792140,0.000007,1.758690,0.000006,2.103800,0.000006
62,0.650674,0.000258,0.216946,-0.016583,1.826775,0.000008,0.396313,0.000019,0.748092,0.000019
